city_name,latitude,longitude
abergement-clémenciat,46.1534255214,4.92611354223
abergement-de-varey,46.009187877600006,5.42801696363
ambérieu-en-bugey,45.960847511400004,5.3729257777
ambérieux-en-dombes,45.9961799872,4.91227250796
ambléon,45.7494989044,5.594320173659999
ambronay,46.005591378199995,5.35760660735
ambutrix,45.9367134524,5.3328092349
andert-et-condon,45.7873565333,5.65788307924
anglefort,45.9093715116,5.79516005674
apremont,46.75726823390001,-1.7484131364700002
aranc,46.0015344029,5.51130637511
arandas,45.8908155275,5.4987043909099995
arbent,46.2834936005,5.690616512209999
arboys en bugey,45.7237621545,5.65263086429
arbigny,46.4776762988,4.9599416863
argis,45.933718213199995,5.48251100314
armix,45.8541838459,5.58357838695
ars-sur-formans,45.993461100000005,4.8219964949400005
artemare,45.8695891748,5.690652839430001
asnières-sur-saône,46.3857281418,4.88387478623
attignat,46.2861802203,5.1795233844999995
bâgé-dommartin,46.323320330200005,4.9528678933
bâgé-le-châtel,46.30770692310001,4.92862084189
balan,49.689759451099995,4.963582869730001
baneins,46.1141214445,4.90146475101
beaupont,46.4288360203,5.26003405676
beauregard,44.3524666438,1.7795856872599998
bellignat,46.2373497134,5.636005288400001
béligneux,45.8591464826,5.1398950586500005
bellegarde-sur-valserine,46.1067901755,5.83202736464
belley,45.7494697806,5.6841236552600005
belleydoux,46.253031640900005,5.784717236980001
belmont-luthézieu,45.8847475883,5.65115788055
bénonces,45.837497471800006,5.48285330863
bény,46.318862921800005,5.282534334049999
béon,47.9490435845,3.31322327005
béréziat,46.3674371012,5.04021655965
bettant,45.9368718303,5.36667617009
bey,46.821298738500005,4.96979880981
beynost,45.8390325448,4.99738002182
billiat,46.07913467149999,5.76591818163
birieux,45.953399550200004,5.0366647998400005
biziat,46.2266794269,4.940846731680001
blyes,45.8469686113,5.25166055884
boisse,44.7162436565,0.656505019107
boissey,49.0197538694,0.0500632254083
bolozon,46.1960338503,5.47095075411
bouligneux,46.0232774841,4.99252709276
bourg-en-bresse,46.2051520382,5.24602125501
bourg-saint-christophe,45.88619344560001,5.143491968959999
boyeux-saint-jérôme,46.0363677631,5.46322744717
boz,46.4051688134,4.913579717799999
brégnier-cordon,45.641685465200005,5.61653371
brénaz,45.950008294700005,5.7371892334000005
brénod,46.0759940484,5.61418361314
brens,43.8878107316,1.9296712012200001
bressolles,46.5280643075,3.295748661
brion,47.9995517691,3.47900609014
briord,45.7708330939,5.485374618840001
buellas,46.2104135162,5.144874650169999
burbanche,45.8598709332,5.54609714598
ceignes,46.125653343500005,5.494573792020001
cerdon,47.6299186758,2.38147298677
certines,46.1337950959,5.262395393719999
cessy,46.315689376,6.0779844362
ceyzériat,46.1832170988,5.32007207542
ceyzérieu,45.833553014799996,5.71933090966
chalamont,46.007649173900006,5.16936568
chaleins,46.034054537299994,4.79853838574
chaley,45.953336773400004,5.53682505273
challes-la-montagne,46.1221539654,5.45755377201
challex,46.17683583270001,5.97115092939
champagne-en-valromey,45.931644739700005,5.693218900720001
champdor-corcelles,46.019884418800004,5.60008759722
champfromier,46.220365768,5.822335731310001
chanay,46.005695298999996,5.7689339318499995
chaneins,46.0934984191,4.85473364691
chanoz-châtenay,46.1861812234,5.02807719246
chapelle-du-châtelard,46.0744536905,5.02162055898
charix,46.1856344066,5.6811896084
charnoz-sur-ain,45.87367868689999,5.2211032563
château-gaillard,45.9730390239,5.307542735319999
châtenay,46.2913546739,4.382666943409999
châtillon-en-michaille,46.1293337743,5.770176021
châtillon-la-palud,45.9748017433,5.2416027725
châtillon-sur-chalaronne,46.123239068500006,4.9581000371399995
chavannes-sur-reyssouze,46.4379785193,5.006937496619999
nivigne et suran,46.2750157946,5.416494230930001
chaveyriat,46.1991513767,5.0564069258
chavornay,45.88240495350001,5.724998145160001
chazey-bons,45.7925770617,5.684770631880001
chazey-sur-ain,45.8929448968,5.25528498524
cheignieu-la-balme,45.8227204334,5.605002396900001
chevillard,46.1103512578,5.58116056005
chevroux,46.38249255,4.962882759719999
chevry,46.283152935,6.04707941462
chézery-forens,46.222573373,5.8724810527499995
civrieux,45.922467454,4.88633786877
cize,46.719897206300004,5.91999404872
cleyzieu,45.902146623,5.43272695486
coligny,46.386663786499994,5.3308227014
collonges,46.1419227898,5.90040256654
colomieu,45.7361469025,5.62670101041
conand,45.8834810846,5.47541328981
condamine,46.649905188000005,5.43493044694
condeissiat,46.1538469834,5.08437171701
confort,46.1543700156,5.83319395258
confrançon,46.270304175,5.05775217893
contrevoz,45.8009403071,5.620877681590001
conzieu,45.7253102173,5.60442351043
corbonod,45.965947318699996,5.7896197035500006
corlier,46.033688557299996,5.496357550290001
cormaranche-en-bugey,45.944277282600005,5.60860828487
cormoranche-sur-saône,46.2403530179,4.8276569593000005
cormoz,46.4336632942,5.2218127575499995
corveissiat,46.25051072350001,5.471524679190001
courmangoux,46.3267864521,5.35558241812
courtes,46.4570082032,5.11128546723
crans,46.6951339522,5.98129931286
cras-sur-reyssouze,46.3130831891,5.17796707174
cressin-rochefort,45.78264348850001,5.765462566369999
crottet,46.283072336000004,4.8774797118199995
crozet,46.1733609918,3.8382075432300002
cruzilles-lès-mépillat,46.222058871499996,4.8752193513
culoz,45.8559966843,5.7839830893199995
curciat-dongalon,46.488545688100004,5.163443368369999
curtafond,46.273150382,5.1020896267
cuzieu,45.606298512399995,4.2654520715099995
dagneux,45.853161691800004,5.0728916680300005
divonne-les-bains,46.3756333495,6.1158647611
dommartin,49.7953023134,2.40134941683
dompierre-sur-veyle,46.066788370299996,5.2166519966600005
