city_code,latitude,longitude
01400,46.1735383313,4.9577238252599996
01640,46.0291437714,5.38252835538
01500,45.9527471237,5.2708276475
01330,45.9927150222,5.04507856642
01300,45.7267387762,5.71282330936
01350,45.812905952399994,5.7253666676699995
01100,46.2605435859,5.65344320923
01110,45.893188359300005,5.59700638944
01230,45.92125055,5.40400282244
01190,46.498199194399994,4.97856020441
01510,45.8464417872,5.63971940347
01480,46.0319048788,4.85182526102
01570,46.359339775100004,4.862658522019999
01340,46.3209806116,5.04148389346
01380,46.2815955593,5.01311826405
01360,45.7921564114,5.21770971647
01990,46.0618477991,4.90158948884
01270,46.3458538978,5.31036160991
01200,46.083764030299996,5.84669856092
01130,46.1821955394,5.74672259773
01260,45.9063608209,5.73707051523
01470,45.8133219416,5.44125880379
01370,46.2803281838,5.360831651619999
01290,46.2683632132,4.92198366998
01700,45.8343709108,4.977262151740001
01150,45.8485624628,5.44711117486
01120,45.8169214201,5.0184098869
01450,46.1466977757,5.45023362942
01000,46.211199845299994,5.184628067709999
01800,45.932014998,5.22953071636
01460,46.155963138999994,5.57615832883
01310,46.184664214899996,5.167713547780001
01430,46.0853386653,5.54922100161
01240,46.0956691617,5.12762470203
01170,46.361076812700006,6.084706654750001
01250,46.1926750369,5.3947679407
01320,46.0099989032,5.25214547187
01630,46.2626243003,5.98914553194
01410,46.3914322554,6.00896074386
01420,46.030402108000004,5.799579206230001
01660,46.217806795,5.08189056957
01390,45.8745670311,4.9639268325
01550,46.145091468500006,5.95100479291
01560,46.4743960759,5.02617426573
01750,46.305148629399994,4.83949202669
01220,46.3126908233,6.110438364330001
01590,46.3364527437,5.68491757236
01160,46.0433928197,5.2947944594
01210,46.2997631425,6.10057952207
01090,46.084957323599994,4.7608579486
01140,46.1146467438,4.865516968680001
01680,45.689184227700004,5.5843972561
01580,46.2229768712,5.50566888767
01851,46.343431249700004,5.24374534963
01600,45.940671655,4.7714415007
01960,46.138554057700006,5.17887070992
01540,46.2168871367,4.997443737119999
01280,46.25827228,6.07223251859
01710,46.2435475879,5.96506297987
01440,46.250898563199996,5.223022492159999
02300,49.6385456387,3.24823591959
02800,49.658136733,3.4427096626599996
02200,49.3789013616,3.3617581580299998
02340,49.7140295341,4.045121279669999
02190,49.4148891865,3.98066282251
02110,50.0111472485,3.5229540020099996
02820,49.5014100438,3.81925378492
02370,49.4108623288,3.5201205980199997
02240,49.771145670200006,3.5049069674599997
02320,49.5301896159,3.4410207370699997
02290,49.410747629,3.10912550549
02700,49.6572646109,3.29924077478
02600,49.305188540100005,3.09196075945
02480,49.727418066000006,3.1194780847099994
02500,49.9480535708,3.99735885106
02360,49.7752799579,4.07288901165
02130,49.1715150184,3.53152683586
02210,49.3000199564,3.3218967224299996
02860,49.5175796033,3.6510536902599995
02270,49.768946397200004,3.66761782458
02840,49.5387490108,3.7306766349300005
02490,49.8839098456,3.15146515668
02420,49.9494418046,3.18749892652
02590,49.779691415500004,3.0909989749599998
02120,49.882798639099995,3.7134240171
02220,49.292980751099996,3.63762361829
02000,49.6436030037,3.67943401416
02250,49.715879331400004,3.73841251024
02580,49.9137614487,3.8830248252099997
02400,49.0744862502,3.42189905232
02140,49.8387507375,3.83266238617
02170,50.00868671520001,3.8092928819800003
02850,49.0916773783,3.6015790691300005
02380,49.5451146096,3.31890035764
02330,49.015545078100004,3.51721331428
02160,49.4265972983,3.8510826284400004
02440,49.7141625709,3.2951870701700003
02450,50.022908925900005,3.65273893683
02870,49.6228688465,3.5643194326699996
02310,48.9977206046,3.26104064101
02350,49.67509326770001,3.7895087905300002
02880,49.430683191099995,3.3879452426300003
02810,49.0832976282,3.2188650234
02620,49.9577111138,3.8380160819999998
02260,49.956968833299996,3.9457328821499997
02680,49.810094132799996,3.2751623814
02670,49.54928205939999,3.29319165625
02570,48.9666904843,3.41396491705
02650,49.063007488800004,3.5122782761
02470,49.135391999999996,3.2930230366299997
02540,48.9576165601,3.4697259440199995
02690,49.789750793100005,3.31629966887
02100,49.8472336321,3.27769499462
02510,49.990343303100005,3.63008652624
02460,49.1981484588,3.1768274022000003
02520,49.7047240534,3.1945140357499997
02760,49.8612556888,3.20085325892
02230,49.9540724704,3.41858032499
02430,49.8234688599,3.2864918966100003
02720,49.8290188644,3.3645401261699996
02150,49.5639648451,3.92032139579
02630,50.017642986000006,3.5994473153900004
02390,49.8314948078,3.45894075748
02610,49.750274961,3.35100553228
02550,49.88619046229999,4.011011497569999
02410,49.5697880929,3.38679579518
02830,49.9163639357,4.20040317785
02640,49.770403298599994,3.16072597634
02790,49.780519235,3.21829749297
03200,46.1300051383,3.42442081174
03210,46.524344042299994,3.1899296024900003
03360,46.6167757197,2.67692261152
03120,46.2802589797,3.58979684003
03380,46.3483905337,2.3521991874
03420,46.2144621437,2.6187919758200002
03250,46.0632245634,3.79460612214
03460,46.674115021800006,3.2503367503500002
03190,46.40805471149999,2.6746212521
03000,46.5712518334,3.2827533859099995
03130,46.409202190600006,3.9372550771699997
03140,46.3256833709,3.07336455653
03500,46.3540600283,3.25057881171
03230,46.5311020411,3.57823760672
03390,46.260273283800004,2.97167741847
03800,46.137724291800005,3.2213487730900003
03330,46.1744050814,3.07839354321
03700,46.098919681999995,3.3524574560600002
03340,46.3838249809,3.40743256191
03170,46.3558498078,2.6846117654299997
03260,46.2045684264,3.4678784453500002
03300,46.1731804107,3.5361625214699997
03150,46.317025657799995,3.40012828582
03160,46.5497137895,2.9419969304299998
03350,46.5619095522,2.7930307797900005
03110,46.16181165689999,3.3472709418599997
